    107    AMD FX(tm)-8320 Eight-Core Processor 
    107    AMD Athlon(tm) 64 X2 Dual Core Processor 6000+ 
    106    Pentium(R) Dual-Core CPU       T4400  @ 2.20GHz
    106    Intel(R) Core(TM) i7 CPU       Q 720  @ 1.60GHz
    106    Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz
    105    AMD Ryzen 5 1600 Six-Core Processor 
    105    AMD Athlon(tm) 64 X2 Dual Core Processor 5000+ 
    104    Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz
    104    Intel(R) Pentium(R) CPU B960 @ 2.20GHz
    104    Intel(R) Core(TM) i7-3520M CPU @ 2.90GHz
    103    Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz
    103    Intel(R) Core(TM)2 Duo CPU P8600 @ 2.40GHz
    103    Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz
    103    AMD FX(tm)-8120 Eight-Core Processor            
    102    AMD Ryzen 7 1800X Eight-Core Processor 
    101    Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz
    101    Intel(R) Celeron(R) CPU G1840 @ 2.80GHz
    100    Intel(R) Pentium(R) CPU G645 @ 2.90GHz
    100    Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
    100    Intel(R) Core(TM) i5-3427U CPU @ 1.80GHz
    100    Intel(R) Core(TM) i5-3350P CPU @ 3.10GHz
    100    Intel(R) Core(TM)2 Duo CPU     E4600  @ 2.40GHz
     99    Intel Xeon E3-12xx v2 (Ivy Bridge) 
     99    Intel(R) Core(TM)2 Duo CPU     T7300  @ 2.00GHz
     98    Intel(R) Celeron(R) CPU G1610 @ 2.60GHz
     97    Pentium(R) Dual-Core CPU       T4200  @ 2.00GHz
     96    Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz
     96    Intel(R) Atom(TM) CPU N270   @ 1.60GHz
     95    Intel(R) Pentium(R) CPU G840 @ 2.80GHz
     95    Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz
     95    Intel(R) Core(TM)2 Quad  CPU   Q9300  @ 2.50GHz
     95    AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ 
     94    Intel(R) Core(TM) i7-3615QM CPU @ 2.30GHz
     94    Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
     93    Intel(R) Xeon(R) CPU           E5345  @ 2.33GHz
     93    Intel(R) Core(TM) i5 CPU       M 430  @ 2.27GHz
     93    Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz
     93    Intel(R) Core(TM)2 Quad  CPU   Q9450  @ 2.66GHz
     93    Intel(R) Core(TM)2 Duo CPU     E7200  @ 2.53GHz
     93    AMD Phenom(tm) II X6 1100T Processor 
     93    AMD FX(tm)-6100 Six-Core Processor              
     93    AMD Athlon(tm) II X2 220 Processor 
     92    Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz
     92    Intel(R) Core(TM)2 Quad CPU           @ 2.40GHz
     91    Intel(R) Core(TM)2 Duo CPU     E6850  @ 3.00GHz
     91    AMD Phenom(tm) II X4 945 Processor 
     91    AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G   
     90    Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz
     90    Intel(R) Core(TM)2 Duo CPU     T6600  @ 2.20GHz
     89    Pentium(R) Dual-Core  CPU      E5500  @ 2.80GHz
     88    Intel(R) Celeron(R) CPU        E3400  @ 2.60GHz
     87    Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz
     87    Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz
     87    Intel(R) Core(TM) i3 CPU       M 350  @ 2.27GHz
     87    AMD Athlon(tm) 64 Processor 3200+ 
     86    Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz
     86    AMD FX(tm)-4300 Quad-Core Processor             
     86    AMD E-350 Processor 
     86    AMD Athlon(tm) 64 X2 Dual Core Processor 4400+ 
     85    Intel(R) Core(TM) i7 CPU 920 @ 2.67GHz
     83    Intel(R) Pentium(R) Dual  CPU  E2200  @ 2.20GHz
     83    Intel(R) Core(TM)2 Duo CPU     T7500  @ 2.20GHz
     82    Pentium(R) Dual-Core  CPU      E6500  @ 2.93GHz
     82    Intel(R) Core(TM)2 Duo CPU     P8700  @ 2.53GHz
     82    Intel(R) Celeron(R) CPU  N2840  @ 2.16GHz
     81    Intel(R) Core(TM) i7-2700K CPU @ 3.50GHz
     81    Intel(R) Core(TM) i5-3550 CPU @ 3.30GHz
     81    Intel(R) Core(TM) i5-2310 CPU @ 2.90GHz
     81    AMD E-450 APU with Radeon(tm) HD Graphics 
     80    Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz
     80    Intel(R) Core(TM)2 Quad CPU Q6600 @ 2.40GHz
     80    Intel(R) Core(TM)2 Duo CPU     T7250  @ 2.00GHz
     79    Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz
     79    Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz
     78    Intel(R) Xeon(R) CPU E5-1620 0 @ 3.60GHz
     78    Intel(R) Xeon(R) CPU @ 2.50GHz
     78    Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz
     78    Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz
     78    AMD Athlon(tm) II X2 240 Processor 
     75    Pentium(R) Dual-Core CPU       T4300  @ 2.10GHz
     75    Intel(R) Core(TM) i7-4930K CPU @ 3.40GHz
     75    Intel(R) Core(TM)2 Duo CPU     T7700  @ 2.40GHz
     74    Intel(R) Core(TM) i7-6800K CPU @ 3.40GHz
     73    Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz
     73    Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz
     73    Intel(R) Core(TM) i5-5257U CPU @ 2.70GHz
     73    AMD FX(tm)-4100 Quad-Core Processor             
     73    AArch64 Processor rev 3 (aarch64)
     72    Intel(R) Xeon(R) CPU X5650 @ 2.67GHz
     72    Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz
     72    Intel(R) Core(TM) i3-6100T CPU @ 3.20GHz
     71    Intel(R) Pentium(R) CPU  N3540  @ 2.16GHz
     71    Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz
     71    AMD Athlon(tm) 64 X2 Dual Core Processor 5600+ 
     70    Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz
     70    Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz
     70    Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz
     70    Intel(R) Core(TM)2 CPU         T7200  @ 2.00GHz
     70    Intel(R) Core(TM)2 CPU         T5500  @ 1.66GHz
     70    AMD FX(tm)-8150 Eight-Core Processor            
     70    AMD FX(tm)-6100 Six-Core Processor 
     70    AMD FX(tm)-4300 Quad-Core Processor 
     70    AMD Athlon(tm) II X4 630 Processor 
     69    Intel(R) Pentium(R) Dual  CPU  E2160  @ 1.80GHz
     69    Intel(R) Core(TM) i7-4820K CPU @ 3.70GHz
     69    Intel(R) Core(TM) i5-4460S CPU @ 2.90GHz
     69    Intel(R) Celeron(R) CPU  J1900  @ 1.99GHz
     68    Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz
     68    Intel(R) Pentium(R) 4 CPU 3.40GHz
     68    Intel(R) Celeron(R) CPU G1620 @ 2.70GHz
     68    AMD Athlon(tm) 64 X2 Dual Core Processor 4000+ 
     67    Intel(R) Xeon(R) CPU           E5440  @ 2.83GHz
     67    Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz
     67    Intel(R) Core(TM) i5-3330S CPU @ 2.70GHz
     67    Intel(R) Core(TM)2 Duo CPU     T6500  @ 2.10GHz
     67    AMD Ryzen 5 1600X Six-Core Processor 
     67    AMD Athlon(tm) II X2 255 Processor 
     66    Intel(R) Core(TM) i5 CPU       M 560  @ 2.67GHz
     66    Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz
     66    Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz
     66    AMD Athlon(tm) 64 X2 Dual Core Processor 4600+ 
     65    Intel(R) Pentium(R) D CPU 3.40GHz
     65    Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz
     65    AMD Athlon(tm) II X2 215 Processor 
     65    AMD A8-5600K APU with Radeon(tm) HD Graphics    
     64    Intel(R) Xeon(R) CPU           L5640  @ 2.27GHz
     64    Intel(R) Pentium(R) CPU 2020M @ 2.40GHz
     64    Intel(R) Celeron(R) CPU 847 @ 1.10GHz
     64    AMD Phenom(tm) II X4 940 Processor 
     64    AMD A8-7410 APU with AMD Radeon R5 Graphics     
     64    AMD A8-5500B APU with Radeon(tm) HD Graphics 
     63    Pentium(R) Dual-Core CPU       T4500  @ 2.30GHz
